domain,metric,value,interpretation
synthetic_2d,detector_component_gate_top50_improvement,2.0,top-50 gain over the prior all-triples gate
synthetic_2d,detector_component_gate_best_top1_cases,0.0,0 means component waveform gate is still not deployable top-1
synthetic_2d,detector_component_gate_ready_for_fwi,0.0,0 means component gate does not justify detector-seeded FWI
synthetic_2d,detector_component_selector_candidate_count,975.0,truth-free component selector candidates tested
synthetic_2d,detector_component_selector_best_in_sample_cases,1.0,best top-1 in-sample all-truth recovery after selector tuning
synthetic_2d,detector_component_selector_leave_one_case_cases,0.0,leave-one-case validated top-1 all-truth recovery
synthetic_2d,detector_component_selector_leave_one_seed_cases,0.0,leave-one-seed validated top-1 all-truth recovery
synthetic_2d,detector_component_selector_ready_for_fwi,0.0,0 means selector audit does not justify detector-seeded FWI
synthetic_2d,detector_geometry_selector_candidate_count,2160.0,branch-family geometry-prior selector candidates tested
synthetic_2d,detector_geometry_selector_best_in_sample_cases,3.0,best in-sample top-1 all-truth recovery with geometry-family priors
synthetic_2d,detector_geometry_selector_leave_one_case_cases,2.0,leave-one-case top-1 all-truth recovery with geometry-family priors
synthetic_2d,detector_geometry_selector_leave_one_case_improvement,2.0,validated improvement over the previous component selector
synthetic_2d,detector_geometry_selector_ready_for_fwi,0.0,0 means geometry-family selector still does not justify detector-seeded FWI
synthetic_2d,detector_selector_gap_selected_all_truth_cases,3.0,top-1 all-truth recovery for the selector being decomposed
synthetic_2d,detector_selector_gap_failed_cases,9.0,cases where the truth-free selector still chooses a wrong triple
synthetic_2d,detector_selector_gap_best_truth_available_cases,12.0,cases with an all-truth triple available in the saved candidate space
synthetic_2d,detector_selector_gap_median_required_gain,0.18097749906867877,median selector-score gain needed for truth to beat the selected wrong triple
synthetic_2d,detector_selector_gap_max_required_gain,0.5505405776977454,largest selector-score gain needed for truth to beat the selected wrong triple
synthetic_2d,detector_selector_gap_ready_for_fwi,0.0,"0 means gap decomposition supports a guardrail, not detector-seeded FWI"
synthetic_2d,detector_upper_bound_minimal_all_case_triples,200.0,minimal rank-gated detector budget that covers all saved cases
synthetic_2d,detector_upper_bound_all_truth_cases,12.0,all-truth cases covered by the best rank-gated upper-bound strategy
synthetic_2d,detector_upper_bound_ready_for_claim,1.0,1 means detector evidence has a paper-safe upper-bound role
synthetic_2d,detector_upper_bound_ready_for_fwi,0.0,0 means upper-bound policy does not justify detector-seeded FWI
field_2d,field_cue_timing_short_inside_envelope_count,3.0,short relative-timing anchors inside the conservative envelope
field_2d,field_cue_timing_short_content_inside_envelope_count,2.0,content-backed short anchors inside the conservative envelope
field_2d,field_cue_timing_long_reject_short_transfer_count,8.0,long pattern anchors outside the short-transfer timing envelope
field_2d,field_cue_timing_ready_for_short_qc,1.0,1 means short-pair relative timing QC remains supported
field_2d,field_cue_timing_ready_for_field_fwi,0.0,0 means timing envelope remains field QC only
field_2d,field_spatial_transfer_short_covered_count,1.0,short content anchors spatially covered by a long pattern anchor
field_2d,field_spatial_transfer_long_covered_count,1.0,long pattern anchors spatially covered by a short content anchor
field_2d,field_spatial_transfer_median_long_distance_mm,701.5965,median nearest short-content distance for long pattern anchors
field_2d,field_spatial_transfer_ready_for_transfer,0.0,0 means short timing cannot be transferred to long profiles
field_2d,field_spatial_transfer_ready_for_field_fwi,0.0,0 means spatial-transfer audit does not justify field FWI
field_2d,field_anchor_interval_short_inside_count,3.0,short timing anchors inside all-window supported intervals
field_2d,field_anchor_interval_content_inside_count,2.0,content-backed short anchors inside all-window supported intervals
field_2d,field_anchor_interval_min_margin_mm,13.331999999999994,minimum anchor margin to supported interval edge
field_2d,field_anchor_interval_ready_for_short_qc,1.0,1 means short relative timing anchors coincide with supported intervals
field_2d,field_anchor_interval_ready_for_field_fwi,0.0,0 means interval reconciliation does not justify field FWI
