run_id,run_name,phase,has_manifest,path
63,gssi51600s_field_dataset_policy_synthesis,"059-081 publication bundle, event tiers, and timing conflict",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/063_gssi51600s_field_dataset_policy_synthesis
64,gssi51600s_long_profiles_relaxed_phase_anchor_audit,"059-081 publication bundle, event tiers, and timing conflict",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/064_gssi51600s_long_profiles_relaxed_phase_anchor_audit
65,gssi51600s_field_dataset_policy_synthesis,"059-081 publication bundle, event tiers, and timing conflict",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/065_gssi51600s_field_dataset_policy_synthesis
66,gssi51600s_field_publication_claim_bundle_post_relaxed_anchor,"059-081 publication bundle, event tiers, and timing conflict",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/066_gssi51600s_field_publication_claim_bundle_post_relaxed_anchor
67,gssi51600s_field_dataset_policy_synthesis_post_publication_refresh,"059-081 publication bundle, event tiers, and timing conflict",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/067_gssi51600s_field_dataset_policy_synthesis_post_publication_refresh
68,gssi51600s_field_bandlimited_repeatability_audit,"059-081 publication bundle, event tiers, and timing conflict",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/068_gssi51600s_field_bandlimited_repeatability_audit
69,gssi51600s_field_dataset_policy_synthesis_post_bandlimited_audit,"059-081 publication bundle, event tiers, and timing conflict",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/069_gssi51600s_field_dataset_policy_synthesis_post_bandlimited_audit
70,gssi51600s_field_publication_claim_bundle_post_bandlimited_audit,"059-081 publication bundle, event tiers, and timing conflict",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/070_gssi51600s_field_publication_claim_bundle_post_bandlimited_audit
71,gssi51600s_field_dataset_policy_synthesis_post_bandlimited_bundle,"059-081 publication bundle, event tiers, and timing conflict",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/071_gssi51600s_field_dataset_policy_synthesis_post_bandlimited_bundle
72,gssi51600s_field_event_support_tiers,"059-081 publication bundle, event tiers, and timing conflict",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/072_gssi51600s_field_event_support_tiers
73,gssi51600s_field_publication_claim_bundle_post_event_support_tiers,"059-081 publication bundle, event tiers, and timing conflict",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/073_gssi51600s_field_publication_claim_bundle_post_event_support_tiers
74,gssi51600s_field_dataset_policy_synthesis_post_event_support_bundle,"059-081 publication bundle, event tiers, and timing conflict",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/074_gssi51600s_field_dataset_policy_synthesis_post_event_support_bundle
75,gssi51600s_field_time_zero_uncertainty_budget,"059-081 publication bundle, event tiers, and timing conflict",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/075_gssi51600s_field_time_zero_uncertainty_budget
76,gssi51600s_field_publication_claim_bundle_post_time_zero_budget,"059-081 publication bundle, event tiers, and timing conflict",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/076_gssi51600s_field_publication_claim_bundle_post_time_zero_budget
77,gssi51600s_field_dataset_policy_synthesis_post_time_zero_budget,"059-081 publication bundle, event tiers, and timing conflict",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/077_gssi51600s_field_dataset_policy_synthesis_post_time_zero_budget
78,gssi51600s_field_time_zero_perturbation_sensitivity,"059-081 publication bundle, event tiers, and timing conflict",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/078_gssi51600s_field_time_zero_perturbation_sensitivity
79,gssi51600s_field_publication_claim_bundle_post_time_zero_perturbation,"059-081 publication bundle, event tiers, and timing conflict",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/079_gssi51600s_field_publication_claim_bundle_post_time_zero_perturbation
80,gssi51600s_field_dataset_policy_synthesis_post_time_zero_perturbation,"059-081 publication bundle, event tiers, and timing conflict",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/080_gssi51600s_field_dataset_policy_synthesis_post_time_zero_perturbation
81,gssi51600s_field_acquisition_readiness_audit,"059-081 publication bundle, event tiers, and timing conflict",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/081_gssi51600s_field_acquisition_readiness_audit
82,gssi51600s_field_publication_claim_bundle_post_acquisition_readiness,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/082_gssi51600s_field_publication_claim_bundle_post_acquisition_readiness
83,gssi51600s_field_dataset_policy_synthesis_post_acquisition_readiness,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/083_gssi51600s_field_dataset_policy_synthesis_post_acquisition_readiness
84,gssi51600s_field_apparent_depth_qc,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/084_gssi51600s_field_apparent_depth_qc
85,gssi51600s_field_apparent_depth_sensitivity,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/085_gssi51600s_field_apparent_depth_sensitivity
86,gssi51600s_field_hyperbola_timezero_degeneracy_audit,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/086_gssi51600s_field_hyperbola_timezero_degeneracy_audit
87,gssi51600s_field_dataset_policy_synthesis_post_depth_degeneracy_qc,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/087_gssi51600s_field_dataset_policy_synthesis_post_depth_degeneracy_qc
88,gssi51600s_field_publication_claim_bundle_post_depth_degeneracy_qc,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/088_gssi51600s_field_publication_claim_bundle_post_depth_degeneracy_qc
89,gssi51600s_field_dataset_policy_synthesis_post_depth_degeneracy_publication_bundle,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/089_gssi51600s_field_dataset_policy_synthesis_post_depth_degeneracy_publication_bundle
90,gssi51600s_field_early_time_anchor_audit,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/090_gssi51600s_field_early_time_anchor_audit
91,gssi51600s_field_publication_claim_bundle_post_early_time_anchor_qc,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/091_gssi51600s_field_publication_claim_bundle_post_early_time_anchor_qc
92,gssi51600s_field_dataset_policy_synthesis_post_early_time_anchor_bundle,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/092_gssi51600s_field_dataset_policy_synthesis_post_early_time_anchor_bundle
93,gssi51600s_field_cue_spacing_context_audit,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/093_gssi51600s_field_cue_spacing_context_audit
94,gssi51600s_field_cue_spacing_sensitivity_audit,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/094_gssi51600s_field_cue_spacing_sensitivity_audit
95,gssi51600s_field_publication_claim_bundle_post_cue_spacing_context,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/095_gssi51600s_field_publication_claim_bundle_post_cue_spacing_context
96,gssi51600s_field_dataset_policy_synthesis_post_cue_spacing_bundle,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/096_gssi51600s_field_dataset_policy_synthesis_post_cue_spacing_bundle
97,gssi51600s_field_timing_anchor_conflict_synthesis,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/097_gssi51600s_field_timing_anchor_conflict_synthesis
98,gssi51600s_field_publication_claim_bundle_post_timing_anchor_conflict,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/098_gssi51600s_field_publication_claim_bundle_post_timing_anchor_conflict
99,gssi51600s_field_dataset_policy_synthesis_post_timing_anchor_bundle,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/099_gssi51600s_field_dataset_policy_synthesis_post_timing_anchor_bundle
100,gssi51600s_field_publication_source_figure_notes_backfill,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/100_gssi51600s_field_publication_source_figure_notes_backfill
101,gssi51600s_field_timing_window_family_classification,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/101_gssi51600s_field_timing_window_family_classification
102,gssi51600s_field_publication_claim_bundle_post_timing_window_family,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/102_gssi51600s_field_publication_claim_bundle_post_timing_window_family
103,gssi51600s_field_dataset_policy_synthesis_post_timing_window_family_bundle,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/103_gssi51600s_field_dataset_policy_synthesis_post_timing_window_family_bundle
104,gssi51600s_field_publication_source_figure_notes_backfill_post_timing_window_family,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/104_gssi51600s_field_publication_source_figure_notes_backfill_post_timing_window_family
105,gssi51600s_field_timing_discriminant_scorecard,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/105_gssi51600s_field_timing_discriminant_scorecard
106,gssi51600s_field_hpc_dimensionality_decision_card,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/106_gssi51600s_field_hpc_dimensionality_decision_card
107,107_gssi51600s_field_publication_claim_bundle_post_timing_discriminant_hpc,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/107_107_gssi51600s_field_publication_claim_bundle_post_timing_discriminant_hpc
107,gssi51600s_field_publication_claim_bundle_post_timing_discriminant_hpc,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/107_gssi51600s_field_publication_claim_bundle_post_timing_discriminant_hpc
108,gssi51600s_field_dataset_policy_synthesis_post_timing_discriminant_hpc_bundle,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/108_gssi51600s_field_dataset_policy_synthesis_post_timing_discriminant_hpc_bundle
109,gssi51600s_field_event_support_tiers_post_timing_discriminant_hpc,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/109_gssi51600s_field_event_support_tiers_post_timing_discriminant_hpc
110,gssi51600s_field_event_support_tiers_post_timing_discriminant_hpc,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/110_gssi51600s_field_event_support_tiers_post_timing_discriminant_hpc
111,gssi51600s_field_publication_claim_bundle_post_event_support_timing_discriminant_hpc,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/111_gssi51600s_field_publication_claim_bundle_post_event_support_timing_discriminant_hpc
112,gssi51600s_field_dataset_policy_synthesis_post_event_support_timing_discriminant_hpc_bundle,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/112_gssi51600s_field_dataset_policy_synthesis_post_event_support_timing_discriminant_hpc_bundle
113,gssi51600s_field_cue_support_catalog,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/113_gssi51600s_field_cue_support_catalog
114,gssi51600s_field_publication_source_figure_notes_backfill_post_event_support_timing_discriminant_hpc,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/114_gssi51600s_field_publication_source_figure_notes_backfill_post_event_support_timing_discriminant_hpc
115,gssi51600s_field_cue_timing_envelope_post_cue_support_catalog,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/115_gssi51600s_field_cue_timing_envelope_post_cue_support_catalog
116,gssi51600s_field_spatial_transfer_audit_post_timing_envelope,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/116_gssi51600s_field_spatial_transfer_audit_post_timing_envelope
117,gssi51600s_field_anchor_interval_reconciliation_post_spatial_transfer,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/117_gssi51600s_field_anchor_interval_reconciliation_post_spatial_transfer
118,gssi51600s_field_hpc_dimensionality_decision_card_post_anchor_interval,"100-118 timing discriminants, cue support, and dimensionality",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/118_gssi51600s_field_hpc_dimensionality_decision_card_post_anchor_interval
119,gssi51600s_field_time_zero_evidence_ladder,119-136 short-anchor inversion-readiness blockers,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/119_gssi51600s_field_time_zero_evidence_ladder
120,gssi51600s_field_short_anchor_leave_one_audit,119-136 short-anchor inversion-readiness blockers,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/120_gssi51600s_field_short_anchor_leave_one_audit
121,gssi51600s_field_time_zero_ladder_post_leave_one,119-136 short-anchor inversion-readiness blockers,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/121_gssi51600s_field_time_zero_ladder_post_leave_one
122,gssi51600s_field_short_anchor_spatial_consistency_audit,119-136 short-anchor inversion-readiness blockers,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/122_gssi51600s_field_short_anchor_spatial_consistency_audit
123,gssi51600s_field_inversion_readiness_synthesis_post_spatial_consistency,119-136 short-anchor inversion-readiness blockers,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/123_gssi51600s_field_inversion_readiness_synthesis_post_spatial_consistency
124,gssi51600s_field_short_anchor_waveform_coherence_audit,119-136 short-anchor inversion-readiness blockers,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/124_gssi51600s_field_short_anchor_waveform_coherence_audit
125,gssi51600s_field_short_anchor_radius_degeneracy_audit,119-136 short-anchor inversion-readiness blockers,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/125_gssi51600s_field_short_anchor_radius_degeneracy_audit
126,gssi51600s_field_short_anchor_signed_morphology_audit,119-136 short-anchor inversion-readiness blockers,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/126_gssi51600s_field_short_anchor_signed_morphology_audit
127,gssi51600s_field_short_anchor_signed_morphology_sensitivity,119-136 short-anchor inversion-readiness blockers,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/127_gssi51600s_field_short_anchor_signed_morphology_sensitivity
128,gssi51600s_field_publication_bundle_freshness_audit,119-136 short-anchor inversion-readiness blockers,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/128_gssi51600s_field_publication_bundle_freshness_audit
129,gssi51600s_field_short_anchor_signed_morphology_timing_margin,119-136 short-anchor inversion-readiness blockers,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/129_gssi51600s_field_short_anchor_signed_morphology_timing_margin
130,gssi51600s_field_publication_claim_bundle_post_signed_morphology_timing_margin,119-136 short-anchor inversion-readiness blockers,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/130_gssi51600s_field_publication_claim_bundle_post_signed_morphology_timing_margin
131,gssi51600s_field_short_anchor_signal_contrast_audit,119-136 short-anchor inversion-readiness blockers,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/131_gssi51600s_field_short_anchor_signal_contrast_audit
132,gssi51600s_field_short_anchor_signal_contrast_sensitivity,119-136 short-anchor inversion-readiness blockers,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/132_gssi51600s_field_short_anchor_signal_contrast_sensitivity
133,gssi51600s_field_publication_claim_bundle_post_signal_contrast_sensitivity,119-136 short-anchor inversion-readiness blockers,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/133_gssi51600s_field_publication_claim_bundle_post_signal_contrast_sensitivity
134,gssi51600s_field_publication_source_figure_notes_backfill_post_signal_contrast_bundle,119-136 short-anchor inversion-readiness blockers,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/134_gssi51600s_field_publication_source_figure_notes_backfill_post_signal_contrast_bundle
