domain,claim_area,required_for_current_package,has_allowed_claim,has_not_allowed_boundary,boundary_complete,allowed_claim,not_allowed
field_2d,gpu_next_step,True,True,True,True,No field GPU/FWI run is justified without external survey geometry or a new measured-data objective.,Do not launch field FWI/3D runs from this dataset alone.
field_2d,long_profile_sensitivity,False,True,True,True,The +0.06 ns long-profile pattern-only support survives the tested shallow time windows and anchor widths.,"Do not convert sensitivity robustness into absolute phase-anchor, cover-depth, radius, 3D, or FWI claims."
field_2d,long_relaxed_phase_anchor,False,True,True,True,Use the relaxed long-profile phase-anchor audit as negative evidence: profile 013 candidates remain low-SNR and the long pair remains pattern-only QC.,"Do not promote relaxed late-window picks to absolute time-zero, cover-depth, radius, 3D, or measured-data FWI evidence."
field_2d,field_bandlimited_repeatability,False,True,True,True,Use the band-limited repeatability audit to justify measured-field QC band choices for the short pair and pattern-only band support for the long pair.,"Do not convert band-limited repeatability into absolute time-zero, cover-depth, radius, 3D, or measured-data FWI evidence."
field_2d,field_event_support_tiers,False,True,True,True,"Use the event-support tier table to separate short-pair content-backed timing QC, long-pair pattern-only support, band-limited repeatability, and explicit FWI/3D blockers.","Do not convert event-support tiers into field radius, cover-depth, 3D, or measured-data FWI claims."
field_2d,field_time_zero_uncertainty_budget,True,True,True,True,"Use the relative time-zero uncertainty budget for short 014/016 QC, robustness accounting, and manuscript uncertainty bounds.","Do not convert the relative uncertainty budget into absolute time-zero, field FWI, 3D, radius, or cover-depth claims."
field_2d,field_time_zero_perturbation_sensitivity,False,True,True,True,Use the perturbation sensitivity audit to show that the short 014/016 B-scan QC remains supported under bootstrap-CI and conservative relative-offset perturbations.,"Do not convert perturbation robustness into absolute time-zero, field FWI, 3D, radius, or cover-depth claims."
field_2d,field_early_time_anchor_negative_qc,True,True,True,True,Use the early-time median-trace audit as a negative control showing that common-mode/direct-wave alignment does not reproduce the content-backed short-pair offset.,"Do not use the early direct/ringdown component as an absolute time-zero calibration, field FWI anchor, 3D inversion input, or replacement for content-backed timing."
field_2d,field_cue_spacing_context,True,True,True,True,Use cue-spacing threshold sensitivity as measured-field context showing visible cues remain wider than the synthetic close-spacing stress scale.,"Do not use measured cue spacing as known-truth rebar separation, synthetic resolution validation, calibrated cover-depth/radius evidence, field FWI, 3D inversion, or synthetic-policy relabeling."
field_2d,field_acquisition_readiness,True,True,True,True,Use the acquisition readiness audit to justify the field dataset as dense 2D line-profile QC with no current field FWI or 3D HPC priority.,Do not submit field FWI/3D HPC jobs or infer volumetric survey geometry from this dataset without external layout metadata or a new calibrated acquisition.
field_2d,field_apparent_depth_scale_qc,False,True,True,True,Use the apparent-depth QC figure as a relative scale guardrail for field cue timing and short-pair residuals.,"Do not convert apparent-depth scale QC into calibrated cover-depth recovery, radius recovery, 3D, or measured-data FWI."
field_2d,field_apparent_depth_sensitivity,False,True,True,True,Use the apparent-depth sensitivity figure to show that the field depth scale depends strongly on dielectric and time-zero assumptions.,Do not report calibrated cover depth from the field cues while the apparent-depth span remains dielectric/time-zero sensitive.
field_2d,field_hyperbola_timezero_degeneracy,True,True,True,True,Use the hyperbola/time-zero degeneracy figure as negative identifiability evidence for measured field inversion.,"Do not promote hyperbola/common-offset overlays to cover-depth, radius, 3D, or measured-data FWI recovery while score surfaces retain boundary and near-top degeneracy."
