series_id,series_type,title,run_ids,seed,target,varied_col,varied_values,n_runs,accepted_runs,weak_runs,best_run,best_margin,all_exact_geometry,conclusion
tx_rx_offset_seed9227465_target1_runs1021_1022,tx_rx_offset,"Tx/Rx-offset series: seed9227465 target1, runs 1021-1022, tx_rx_offset_mm=60.0, 52.5","1021, 1022",9227465,1,tx_rx_offset_mm,"60.0, 52.5",2,1022,1021,1022,0.0005043776599231928,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1022.
tx_rx_offset_seed14930352_target0_runs1023_1024,tx_rx_offset,"Tx/Rx-offset series: seed14930352 target0, runs 1023-1024, tx_rx_offset_mm=60.0, 52.5","1023, 1024",14930352,0,tx_rx_offset_mm,"60.0, 52.5",2,,"1023, 1024",1023,0.000493223378255362,True,All tested rows stayed below the strict 5.0e-04 base-margin cutoff; best tested run is 1023.
tx_rx_offset_seed24157817_target1_runs1032_1033,tx_rx_offset,"Tx/Rx-offset series: seed24157817 target1, runs 1032-1033, tx_rx_offset_mm=60.0, 52.5","1032, 1033",24157817,1,tx_rx_offset_mm,"60.0, 52.5",2,1033,1032,1033,0.0005591908661026941,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1033.
tx_rx_offset_seed63245986_target1_runs1039_1040,tx_rx_offset,"Tx/Rx-offset series: seed63245986 target1, runs 1039-1040, tx_rx_offset_mm=60.0, 52.5","1039, 1040",63245986,1,tx_rx_offset_mm,"60.0, 52.5",2,1040,1039,1040,0.0005380880977085729,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1040.
tx_rx_offset_seed102334155_target1_runs1045_1046,tx_rx_offset,"Tx/Rx-offset series: seed102334155 target1, runs 1045-1046, tx_rx_offset_mm=60.0, 52.5","1045, 1046",102334155,1,tx_rx_offset_mm,"60.0, 52.5",2,1046,1045,1046,0.0005043796585808974,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1046.
tx_rx_offset_seed267914296_target0_runs1050_1051,tx_rx_offset,"Tx/Rx-offset series: seed267914296 target0, runs 1050-1051, tx_rx_offset_mm=60.0, 52.5","1050, 1051",267914296,0,tx_rx_offset_mm,"60.0, 52.5",2,,"1050, 1051",1050,0.0004963954316519678,True,All tested rows stayed below the strict 5.0e-04 base-margin cutoff; best tested run is 1050.
tx_rx_offset_seed267914296_target1_runs1056_1057,tx_rx_offset,"Tx/Rx-offset series: seed267914296 target1, runs 1056-1057, tx_rx_offset_mm=60.0, 52.5","1056, 1057",267914296,1,tx_rx_offset_mm,"60.0, 52.5",2,,"1056, 1057",1057,0.000489469268673378,True,All tested rows stayed below the strict 5.0e-04 base-margin cutoff; best tested run is 1057.
tx_rx_offset_seed433494437_target1_runs1061_1062,tx_rx_offset,"Tx/Rx-offset series: seed433494437 target1, runs 1061-1062, tx_rx_offset_mm=60.0, 52.5","1061, 1062",433494437,1,tx_rx_offset_mm,"60.0, 52.5",2,1062,1061,1062,0.000514423443686126,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1062.
tx_rx_offset_seed701408733_target0_runs1063_1064,tx_rx_offset,"Tx/Rx-offset series: seed701408733 target0, runs 1063-1064, tx_rx_offset_mm=60.0, 52.5","1063, 1064",701408733,0,tx_rx_offset_mm,"60.0, 52.5",2,1064,1063,1064,0.0005137346833780608,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1064.
tx_rx_offset_seed7778742049_target0_runs1079_1080,tx_rx_offset,"Tx/Rx-offset series: seed7778742049 target0, runs 1079-1080, tx_rx_offset_mm=60.0, 52.5","1079, 1080",7778742049,0,tx_rx_offset_mm,"60.0, 52.5",2,,"1079, 1080",1079,0.00046330777875553016,True,All tested rows stayed below the strict 5.0e-04 base-margin cutoff; best tested run is 1079.
tx_rx_offset_seed365435296162_target0_runs1120_1123,tx_rx_offset,"Tx/Rx-offset series: seed365435296162 target0, runs 1120-1123, tx_rx_offset_mm=60.0, 52.5, 50.0, 45.0","1120, 1121, 1122, 1123",365435296162,0,tx_rx_offset_mm,"60.0, 52.5, 50.0, 45.0",4,"1122, 1123","1120, 1121",1123,0.0005281511926416189,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1123.
tx_rx_offset_seed2504730781961_target0_runs1136_1139,tx_rx_offset,"Tx/Rx-offset series: seed2504730781961 target0, runs 1136-1139, tx_rx_offset_mm=60.0, 52.5, 50.0, 45.0","1136, 1137, 1138, 1139",2504730781961,0,tx_rx_offset_mm,"60.0, 52.5, 50.0, 45.0",4,,"1136, 1137, 1138, 1139",1139,0.00048425847314367484,True,All tested rows stayed below the strict 5.0e-04 base-margin cutoff; best tested run is 1139.
tx_rx_offset_seed44945570292853_target0_runs1166_1167,tx_rx_offset,"Tx/Rx-offset series: seed44945570292853 target0, runs 1166-1167, tx_rx_offset_mm=60.0, 52.5","1166, 1167",44945570292853,0,tx_rx_offset_mm,"60.0, 52.5",2,1167,1166,1167,0.0005400010253008049,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1167.
tx_rx_offset_seed190392491049135_target0_runs1178_1179,tx_rx_offset,"Tx/Rx-offset series: seed190392491049135 target0, runs 1178-1179, tx_rx_offset_mm=60.0, 52.5","1178, 1179",190392491049135,0,tx_rx_offset_mm,"60.0, 52.5",2,1179,1178,1179,0.0005125767276380824,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1179.
tx_rx_offset_seed308061521720129_target0_runs1182_1183,tx_rx_offset,"Tx/Rx-offset series: seed308061521720129 target0, runs 1182-1183, tx_rx_offset_mm=60.0, 52.5","1182, 1183",308061521720129,0,tx_rx_offset_mm,"60.0, 52.5",2,1183,1182,1183,0.0005081407667591187,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1183.
tx_rx_offset_seed308061521720129_target2_runs1184_1226,tx_rx_offset,"Tx/Rx-offset series: seed308061521720129 target2, runs 1184-1226, tx_rx_offset_mm=60.0, 50.0","1184, 1226",308061521720129,2,tx_rx_offset_mm,"60.0, 50.0",2,,"1184, 1226",1184,0.0004908833829601021,True,All tested rows stayed below the strict 5.0e-04 base-margin cutoff; best tested run is 1184.
tx_rx_offset_seed498454012769264_target0_runs1188_1189,tx_rx_offset,"Tx/Rx-offset series: seed498454012769264 target0, runs 1188-1189, tx_rx_offset_mm=60.0, 52.5","1188, 1189",498454012769264,0,tx_rx_offset_mm,"60.0, 52.5",2,1189,1188,1189,0.0005270735817749159,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1189.
tx_rx_offset_seed5527939710754757_target0_runs1211_1214,tx_rx_offset,"Tx/Rx-offset series: seed5527939710754757 target0, runs 1211-1214, tx_rx_offset_mm=60.0, 52.5, 50.0, 45.0","1211, 1212, 1213, 1214",5527939710754757,0,tx_rx_offset_mm,"60.0, 52.5, 50.0, 45.0",4,"1213, 1214","1211, 1212",1214,0.0005149536011171754,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1214.
tx_rx_offset_seed20365011074_target2_runs1090_1225,tx_rx_offset,"Tx/Rx-offset series: seed20365011074 target2, runs 1090-1225, tx_rx_offset_mm=60.0, 50.0","1090, 1225",20365011074,2,tx_rx_offset_mm,"60.0, 50.0",2,1225,1090,1225,0.0005181019408682375,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1225.
tx_rx_offset_seed610_target1_runs897_1236,tx_rx_offset,"Tx/Rx-offset series: seed610 target1, runs 897-1236, tx_rx_offset_mm=60.0, 52.5, 50.0, 55.0, 57.5","897, 1224, 1234, 1235, 1236",610,1,tx_rx_offset_mm,"60.0, 52.5, 50.0, 55.0, 57.5",5,,"897, 1224, 1234, 1235, 1236",1235,0.0004968948629134814,True,All tested rows stayed below the strict 5.0e-04 base-margin cutoff; best tested run is 1235.
tx_rx_offset_seed5527939710754757_target1_runs1216_1240,tx_rx_offset,"Tx/Rx-offset series: seed5527939710754757 target1, runs 1216-1240, tx_rx_offset_mm=60.0, 52.5, 55.0","1216, 1223, 1240",5527939710754757,1,tx_rx_offset_mm,"60.0, 52.5, 55.0",3,,"1216, 1223, 1240",1240,0.0004546578412161946,True,All tested rows stayed below the strict 5.0e-04 base-margin cutoff; best tested run is 1240.
tx_rx_offset_seed13_target2_runs1219_1251,tx_rx_offset,"Tx/Rx-offset series: seed13 target2, runs 1219-1251, tx_rx_offset_mm=25.0, 50.0, 50.0","1219, 1245, 1251",13,2,tx_rx_offset_mm,"25.0, 50.0, 50.0",3,"1219, 1245, 1251",,1245,0.001934354737835993,False,All tested rows cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1245.
tx_rx_offset_seed21_target2_runs1221_1252,tx_rx_offset,"Tx/Rx-offset series: seed21 target2, runs 1221-1252, tx_rx_offset_mm=25.0, 50.0, 50.0","1221, 1246, 1252",21,2,tx_rx_offset_mm,"25.0, 50.0, 50.0",3,"1246, 1252",1221,1246,0.0018666214898864636,False,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1246.
